hotel,count,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,1,325,2016,October,43,17,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,58.0,,0,Transient,95.0,0,0,Canceled,2016/1/6
City Hotel,1,1,87,2017,April,15,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,95.0,0,0,Canceled,2017/1/18
City Hotel,1,0,74,2017,June,23,8,0,2,2,0.0,0,HB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,208.0,0,0,Check-Out,2017/6/10
City Hotel,1,0,32,2015,October,41,6,0,4,2,0.0,0,BB,ISR,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,124.75,0,0,Check-Out,2015/10/10
City Hotel,1,1,302,2016,May,19,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015/10/21
City Hotel,1,0,11,2016,January,3,15,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,B,B,0,No Deposit,14.0,,0,Transient,76.25,0,1,Check-Out,2016/1/17
City Hotel,1,1,344,2016,June,25,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015/10/21
City Hotel,1,0,3,2015,November,47,17,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,46.14,0,0,Check-Out,2015/11/24
City Hotel,1,0,88,2016,May,19,3,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,117.0,0,1,Check-Out,2016/5/6
City Hotel,1,0,193,2017,March,12,23,1,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2017/3/27
City Hotel,1,0,49,2017,March,9,2,0,3,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,77.0,0,0,Check-Out,2017/3/5
City Hotel,1,0,0,2015,October,43,24,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,B,0,No Deposit,,,0,Transient,102.5,0,0,Check-Out,2015/10/25
City Hotel,1,0,49,2016,March,10,4,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,80.3,0,1,Check-Out,2016/3/7
City Hotel,1,1,262,2015,November,46,9,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015/9/4
City Hotel,1,1,87,2015,September,39,25,2,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0,Canceled,2015/9/9
City Hotel,1,1,309,2015,August,34,22,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2015/1/1
City Hotel,1,0,20,2017,May,21,24,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,87.0,,0,Transient-Party,120.0,0,0,Check-Out,2017/5/25
City Hotel,1,1,166,2016,June,25,16,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,117.18,0,0,Canceled,2016/6/5
City Hotel,1,0,50,2016,January,3,14,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,43,Transient-Party,52.0,0,1,Check-Out,2016/1/17
City Hotel,1,0,103,2016,May,19,4,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,154.0,,0,Transient-Party,80.0,0,0,Check-Out,2016/5/7
City Hotel,1,1,215,2016,November,49,30,0,4,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient,67.26,0,0,Canceled,2016/8/3
City Hotel,1,1,42,2016,March,14,27,2,0,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.5,0,0,Canceled,2016/2/26
City Hotel,1,0,75,2016,December,49,3,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2016/12/5
City Hotel,1,0,70,2016,June,23,3,0,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient-Party,100.0,0,0,Check-Out,2016/6/5
City Hotel,1,0,137,2017,March,10,6,1,1,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,80.0,0,1,Check-Out,2017/3/8
City Hotel,1,0,11,2016,February,8,14,1,0,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.0,0,1,Check-Out,2016/2/15
City Hotel,1,0,147,2017,June,24,11,2,2,3,0.0,0,BB,PHL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,190.8,0,0,Check-Out,2017/6/15
City Hotel,1,1,223,2016,September,40,30,2,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,73.96,0,0,Canceled,2016/2/22
City Hotel,1,0,5,2016,September,40,27,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,0,No Deposit,,40.0,0,Transient,67.0,1,1,Check-Out,2016/9/30
City Hotel,1,0,21,2016,August,34,19,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,151.0,0,1,Check-Out,2016/8/23
City Hotel,1,1,63,2016,July,30,23,2,5,2,1.0,0,BB,TUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.5,0,0,Canceled,2016/6/21
City Hotel,1,0,146,2017,April,16,16,2,1,2,0.0,0,BB,MEX,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,138.0,,0,Transient,99.0,0,0,Check-Out,2017/4/19
City Hotel,1,1,37,2016,June,25,17,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,42.0,,0,Transient,134.1,0,1,Canceled,2016/6/7
City Hotel,1,1,109,2016,October,44,29,2,1,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,159.9,0,0,Canceled,2016/8/2
City Hotel,1,1,60,2017,April,15,15,0,1,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Transient,230.0,0,0,Canceled,2017/3/12
City Hotel,1,0,3,2016,March,13,21,1,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,0,Check-Out,2016/3/23
City Hotel,1,1,19,2016,August,33,10,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,166.0,0,1,Canceled,2016/8/6
City Hotel,1,1,168,2016,April,17,22,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,77,Transient,85.0,0,0,Canceled,2016/1/22
City Hotel,1,1,38,2016,December,52,21,1,4,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.7,0,1,Canceled,2016/12/4
City Hotel,1,0,2,2016,April,17,23,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,131.0,0,0,Check-Out,2016/4/24
City Hotel,1,0,133,2017,April,16,19,0,4,2,0.0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390.0,,0,Transient-Party,124.0,0,0,Check-Out,2017/4/23
City Hotel,1,0,1,2017,March,9,2,0,1,1,0.0,0,SC,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,88.0,0,1,Check-Out,2017/3/3
City Hotel,1,0,96,2017,March,11,12,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,103.0,,0,Transient,79.2,0,0,Check-Out,2017/3/16
City Hotel,1,0,30,2016,January,2,6,1,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,60.0,0,0,Check-Out,2016/1/11
City Hotel,1,0,6,2015,September,36,2,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Contract,114.5,0,2,Check-Out,2015/9/6
City Hotel,1,1,59,2016,April,18,28,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,128.69,0,0,Canceled,2016/3/26
City Hotel,1,0,62,2017,August,34,23,0,1,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,98.0,,0,Transient-Party,115.0,0,0,Check-Out,2017/8/24
City Hotel,1,0,18,2016,May,23,29,2,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.6,0,2,Check-Out,2016/6/2
City Hotel,1,0,3,2017,March,10,11,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,208.0,0,0,Check-Out,2017/3/12
City Hotel,1,0,110,2016,October,42,9,1,0,1,0.0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,K,1,No Deposit,234.0,,0,Transient-Party,120.0,0,0,Check-Out,2016/10/10
City Hotel,1,0,12,2016,February,9,23,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,72.07,0,1,Check-Out,2016/2/26
City Hotel,1,1,493,2017,August,31,1,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2017/6/30
City Hotel,1,1,360,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015/1/1
City Hotel,1,1,10,2017,July,28,9,2,2,2,0.0,0,SC,IRN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0,1,Canceled,2017/6/30
City Hotel,1,0,127,2017,April,14,7,0,2,2,2.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,F,1,No Deposit,9.0,,0,Transient,220.0,0,3,Check-Out,2017/4/9
City Hotel,1,0,19,2015,September,40,28,1,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,170.0,0,0,Check-Out,2015/9/29
City Hotel,1,0,12,2016,January,5,24,2,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,40.0,0,Transient-Party,66.0,0,1,Check-Out,2016/1/27
City Hotel,1,1,55,2016,December,50,8,0,3,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,86.4,0,2,Canceled,2016/10/17
City Hotel,1,1,30,2016,September,37,7,0,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,3,Canceled,2016/8/31
City Hotel,1,0,320,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016/8/20
City Hotel,1,0,4,2016,February,9,26,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,87.0,0,1,Check-Out,2016/2/28
City Hotel,1,1,163,2016,October,43,20,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016/5/10
City Hotel,1,0,29,2017,January,3,18,0,4,1,0.0,0,BB,SWE,Groups,TA/TO,0,0,0,A,A,1,No Deposit,171.0,,0,Transient-Party,65.0,0,0,Check-Out,2017/1/22
City Hotel,1,1,198,2015,December,49,5,2,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,90.0,0,0,Canceled,2015/10/23
City Hotel,1,1,100,2017,March,12,23,1,3,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,0,Canceled,2016/12/13
City Hotel,1,0,18,2016,June,26,23,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,0,Check-Out,2016/6/24
City Hotel,1,0,41,2016,January,4,20,0,4,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,62.0,0,0,Check-Out,2016/1/24
City Hotel,1,1,6,2016,June,26,23,0,1,1,0.0,0,BB,HKG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,95.0,0,0,Canceled,2016/6/17
City Hotel,1,1,63,2015,July,28,7,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,B,B,2,No Deposit,,,0,Transient-Party,45.0,0,1,Canceled,2015/7/7
City Hotel,1,0,2,2017,January,4,22,2,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,90.78,0,1,Check-Out,2017/1/26
City Hotel,1,1,104,2017,August,31,2,0,4,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,2,Canceled,2017/4/23
City Hotel,1,0,85,2016,October,41,6,1,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,85.0,0,1,Check-Out,2016/10/10
City Hotel,1,0,136,2016,August,35,26,0,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,0,Check-Out,2016/8/28
City Hotel,1,0,110,2015,December,50,9,0,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,69,Transient-Party,70.0,0,0,Check-Out,2015/12/13
City Hotel,1,0,64,2016,September,40,28,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,157.0,,0,Transient,101.52,0,0,Check-Out,2016/10/1
City Hotel,1,0,0,2016,October,44,24,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,F,0,No Deposit,,,0,Transient,145.0,0,0,Check-Out,2016/10/25
City Hotel,1,0,2,2016,February,6,6,1,1,2,0.0,0,BB,HRV,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,102.0,1,1,Check-Out,2016/2/8
City Hotel,1,1,103,2016,April,17,19,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,119.0,,0,Transient,115.0,0,0,Canceled,2016/2/25
City Hotel,1,1,262,2016,December,53,26,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.95,0,0,Canceled,2016/5/29
City Hotel,1,0,59,2017,March,12,24,2,5,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,1,Check-Out,2017/3/31
City Hotel,1,0,1,2016,October,44,28,1,2,2,2.0,0,BB,DZA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,211.76,0,1,Check-Out,2016/10/31
City Hotel,1,0,0,2016,August,34,19,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,148.0,0,1,Check-Out,2016/8/21
City Hotel,1,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016/4/4
City Hotel,1,1,50,2017,April,15,9,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2017/2/21
City Hotel,1,0,6,2016,March,14,29,0,4,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,6,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2016/4/2
City Hotel,1,1,68,2016,February,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,,0,Transient,75.0,0,0,Canceled,2016/1/6
City Hotel,1,1,174,2016,August,33,13,1,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,0,Canceled,2016/8/1
City Hotel,1,0,63,2017,August,31,1,2,5,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0,2,Check-Out,2017/8/8
City Hotel,1,1,322,2016,May,21,19,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,120,Transient,80.0,0,0,Canceled,2016/2/10
City Hotel,1,0,169,2016,July,29,13,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,94.5,0,1,Check-Out,2016/7/16
City Hotel,1,0,95,2016,August,32,5,1,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,1,1,Check-Out,2016/8/8
City Hotel,1,0,169,2017,July,27,2,1,0,1,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017/7/3
City Hotel,1,0,100,2016,April,15,8,2,5,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,86.09,0,1,Check-Out,2016/4/15
City Hotel,1,1,260,2015,September,38,18,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,1,Non Refund,6.0,,0,Transient-Party,80.0,0,0,Canceled,2015/7/6
City Hotel,1,0,156,2017,July,30,28,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,90.0,0,1,Check-Out,2017/7/31
City Hotel,1,0,102,2016,May,21,19,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,0,Check-Out,2016/5/22
City Hotel,1,0,307,2016,September,38,11,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,2,No Deposit,8.0,,0,Transient,108.0,0,0,Check-Out,2016/9/17
City Hotel,1,0,0,2016,August,35,24,0,1,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89.0,,0,Transient,136.44,0,1,Check-Out,2016/8/25
City Hotel,1,1,95,2016,November,45,5,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,75.0,0,0,Canceled,2016/10/21
City Hotel,1,1,285,2016,October,41,3,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,24,Transient,100.0,0,0,Canceled,2016/1/16
City Hotel,1,0,181,2016,October,44,28,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,2,Check-Out,2016/10/30
City Hotel,1,1,138,2017,March,11,13,1,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,75.68,0,1,Canceled,2016/10/27
City Hotel,1,1,127,2017,February,9,26,1,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,2,Canceled,2017/1/5
City Hotel,1,0,1,2016,June,24,7,0,2,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.0,0,1,Check-Out,2016/6/9
City Hotel,1,1,249,2017,May,21,25,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,1,Canceled,2016/9/28
City Hotel,1,0,44,2016,March,13,20,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,,0,Transient,107.5,0,1,Check-Out,2016/3/25
City Hotel,1,0,96,2017,June,25,18,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,159.0,,0,Transient,98.17,0,0,Check-Out,2017/6/21
City Hotel,1,1,30,2017,February,6,9,1,3,1,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.1,0,1,Canceled,2017/1/11
City Hotel,1,0,243,2016,June,26,19,2,0,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,8.0,,0,Transient,95.58,0,1,Check-Out,2016/6/21
City Hotel,1,0,167,2017,August,35,30,0,2,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.5,0,2,Check-Out,2017/9/1
City Hotel,1,1,146,2017,January,3,18,0,3,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,0,Canceled,2016/8/27
City Hotel,1,0,88,2017,March,11,12,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.2,0,2,Check-Out,2017/3/15
City Hotel,1,1,199,2017,April,17,23,2,5,2,0.0,0,HB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,164.7,0,2,Canceled,2017/4/23
City Hotel,1,0,67,2016,June,24,10,0,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,116.1,0,0,Check-Out,2016/6/12
City Hotel,1,0,70,2016,April,15,3,2,4,1,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,64.67,0,1,Check-Out,2016/4/9
City Hotel,1,1,131,2015,August,33,15,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015/8/1
City Hotel,1,1,307,2015,August,34,20,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015/1/1
City Hotel,1,1,182,2017,August,35,28,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2017/3/4
City Hotel,1,0,132,2016,November,48,25,0,2,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Check-Out,2016/11/27
City Hotel,1,0,128,2016,February,6,5,2,5,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,43.43,0,1,Check-Out,2016/2/12
City Hotel,1,0,25,2016,December,50,7,0,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,88.4,0,1,Check-Out,2016/12/11
City Hotel,1,0,21,2017,April,17,29,2,1,1,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.67,0,1,Check-Out,2017/5/2
City Hotel,1,0,6,2016,December,53,30,0,2,2,0.0,0,BB,THA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,138.0,0,2,Check-Out,2017/1/1
City Hotel,1,1,328,2015,September,37,10,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015/1/1
City Hotel,1,1,0,2016,June,26,22,0,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,159.0,0,2,Canceled,2016/6/22
City Hotel,1,0,45,2017,March,10,5,2,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.2,0,2,Check-Out,2017/3/8
City Hotel,1,1,573,2017,February,5,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015/10/21
City Hotel,1,0,5,2017,July,29,16,1,0,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,163.0,0,3,Check-Out,2017/7/17
City Hotel,1,1,52,2016,May,19,7,2,5,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.65,0,0,Canceled,2016/4/21
City Hotel,1,1,13,2016,September,38,15,0,1,2,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,233.0,0,Transient-Party,100.0,0,1,No-Show,2016/9/15
City Hotel,1,0,10,2016,July,28,6,0,4,3,1.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,183.43,0,2,Check-Out,2016/7/10
City Hotel,1,1,181,2016,August,35,27,2,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.5,0,0,Canceled,2016/3/1
City Hotel,1,0,154,2016,August,33,11,2,5,2,0.0,0,SC,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,132.0,,0,Transient,63.75,0,0,Check-Out,2016/8/18
City Hotel,1,0,1,2016,September,38,16,0,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,159.0,0,0,Check-Out,2016/9/17
City Hotel,1,0,6,2017,August,35,28,1,3,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,7.0,,0,Transient,190.0,0,1,Check-Out,2017/9/1
City Hotel,1,0,38,2016,August,34,16,0,3,3,1.0,0,BB,FRA,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,,0,Transient,235.95,0,1,Check-Out,2016/8/19
